word,model,acc,f1
বিন্দু,muril,0.5316455696202531,0.5205838937182221
বিন্দু,xl-lexeme,0.5443037974683544,0.5436456996148908
বিন্দু,xlm-r,0.5949367088607594,0.5869281045751634
বিন্দু,indic,0.6075949367088608,0.5746048289039429
বিন্দু,e5,0.6075949367088608,0.6012050154697932
বিন্দু,mbert,0.5443037974683544,0.5221774193548387
বিন্দু,banglabert,0.5316455696202531,0.45272420894963494
বিন্দু,sahajbert,0.569620253164557,0.5678893178893178
বিন্দু,e5-large,0.5443037974683544,0.44798136645962733
বিন্দু,labse,0.5822784810126582,0.5315363881401618
বিন্দু,para-miniLM-multilingual,0.5822784810126582,0.5812048192771084
বিন্দু,para-xlm-r-multilingual,0.5569620253164557,0.5031446540880503
বিন্দু,csebuet-banglabert,0.569620253164557,0.5431972789115647
বিন্দু,csebuet-banglabert-large,0.5063291139240507,0.5050602409638554
