word,model,acc,f1
তাড়া,muril,0.9540229885057471,0.9517203107658158
তাড়া,xl-lexeme,0.9540229885057471,0.9517203107658158
তাড়া,xlm-r,0.5172413793103449,0.5024509803921569
তাড়া,indic,0.9655172413793104,0.9635932487097224
তাড়া,e5,0.9425287356321839,0.9399585921325051
তাড়া,mbert,0.9425287356321839,0.9399585921325051
তাড়া,banglabert,0.8505747126436781,0.8485741063060651
তাড়া,sahajbert,0.9540229885057471,0.9517203107658158
তাড়া,e5-large,0.9540229885057471,0.9517203107658158
তাড়া,labse,0.9655172413793104,0.9635932487097224
তাড়া,para-miniLM-multilingual,0.5172413793103449,0.5166666666666666
তাড়া,para-xlm-r-multilingual,0.6206896551724138,0.5894465894465895
তাড়া,csebuet-banglabert,0.5747126436781609,0.5456598447424136
তাড়া,csebuet-banglabert-large,0.5747126436781609,0.5330044973161179
