word,model,acc,f1
ঠান্ডা,muril,0.5633802816901409,0.5545436146529042
ঠান্ডা,xl-lexeme,0.6338028169014085,0.6247967479674796
ঠান্ডা,xlm-r,0.647887323943662,0.647887323943662
ঠান্ডা,indic,0.5915492957746479,0.5915492957746479
ঠান্ডা,e5,0.8028169014084507,0.7979674796747968
ঠান্ডা,mbert,0.5352112676056338,0.4858459512837393
ঠান্ডা,banglabert,0.6619718309859155,0.6602870813397129
ঠান্ডা,sahajbert,0.9577464788732394,0.9565039820298142
ঠান্ডা,e5-large,0.7887323943661971,0.7860156720916214
ঠান্ডা,labse,0.6619718309859155,0.6564516129032258
ঠান্ডা,para-miniLM-multilingual,0.6338028169014085,0.6319776714513556
ঠান্ডা,para-xlm-r-multilingual,0.647887323943662,0.6407609795587937
ঠান্ডা,csebuet-banglabert,0.5070422535211268,0.38137913866069206
ঠান্ডা,csebuet-banglabert-large,0.5774647887323944,0.562807881773399
