word,model,acc,f1
বর্ণ,muril,0.6883116883116883,0.575398763967401
বর্ণ,xl-lexeme,0.7402597402597403,0.7447711985677453
বর্ণ,xlm-r,0.4805194805194805,0.37754303599374023
বর্ণ,indic,0.6493506493506493,0.5295105256360584
বর্ণ,e5,0.9545454545454546,0.9546490546490548
বর্ণ,mbert,0.5909090909090909,0.4733134920634921
বর্ণ,banglabert,0.6103896103896104,0.4929103580869983
বর্ণ,sahajbert,0.935064935064935,0.9367899432118981
বর্ণ,e5-large,0.6883116883116883,0.7072426028294272
বর্ণ,labse,0.6818181818181818,0.5581818181818182
বর্ণ,para-miniLM-multilingual,0.38311688311688313,0.3732193732193732
বর্ণ,para-xlm-r-multilingual,0.4155844155844156,0.2928946863997256
বর্ণ,csebuet-banglabert,0.5064935064935064,0.4910750507099391
বর্ণ,csebuet-banglabert-large,0.4090909090909091,0.32004253056884635
