word,model,acc,f1
ধন,muril,0.6867469879518072,0.6761704681872749
ধন,xl-lexeme,0.7831325301204819,0.7823426573426573
ধন,xlm-r,0.6144578313253012,0.607565011820331
ধন,indic,0.7108433734939759,0.7010804321728692
ধন,e5,0.5783132530120482,0.572101929591987
ধন,mbert,0.5060240963855421,0.48164508758568164
ধন,banglabert,0.6746987951807228,0.6716483516483517
ধন,sahajbert,0.5542168674698795,0.5539578794480755
ধন,e5-large,0.5662650602409639,0.5585106382978724
ধন,labse,0.5060240963855421,0.4954781319495923
ধন,para-miniLM-multilingual,0.6385542168674698,0.6380813953488372
ধন,para-xlm-r-multilingual,0.5060240963855421,0.4522774826975696
ধন,csebuet-banglabert,0.5783132530120482,0.552319309600863
ধন,csebuet-banglabert-large,0.5421686746987951,0.5306547619047619
