word,model,acc,f1
পদ,muril,0.6054421768707483,0.4974659447699572
পদ,xl-lexeme,0.5578231292517006,0.44675925925925924
পদ,xlm-r,0.5238095238095238,0.4594934289127837
পদ,indic,0.8095238095238095,0.8008259505352529
পদ,e5,0.7210884353741497,0.7109585574642837
পদ,mbert,0.8571428571428571,0.8560738994254721
পদ,banglabert,0.6938775510204082,0.6926406926406927
পদ,sahajbert,0.5850340136054422,0.5059874103352365
পদ,e5-large,0.8367346938775511,0.8203627180899908
পদ,labse,0.7278911564625851,0.5623095296927766
পদ,para-miniLM-multilingual,0.4013605442176871,0.3930786882818862
পদ,para-xlm-r-multilingual,0.5306122448979592,0.49491249491249495
পদ,csebuet-banglabert,0.5238095238095238,0.5088897101092223
পদ,csebuet-banglabert-large,0.4489795918367347,0.4183564081869166
