word,model,acc,f1
ঘোর,muril,0.9651162790697675,0.964997964997965
ঘোর,xl-lexeme,0.813953488372093,0.8138528138528138
ঘোর,xlm-r,0.6046511627906976,0.6046511627906976
ঘোর,indic,0.9534883720930233,0.9533875338753388
ঘোর,e5,0.9534883720930233,0.9532608695652174
ঘোর,mbert,0.8488372093023255,0.8453023384530234
ঘোর,banglabert,0.8604651162790697,0.8585526315789473
ঘোর,sahajbert,0.9651162790697675,0.964997964997965
ঘোর,e5-large,0.9651162790697675,0.964997964997965
ঘোর,labse,0.9186046511627907,0.9177033492822966
ঘোর,para-miniLM-multilingual,0.7558139534883721,0.7557809330628803
ঘোর,para-xlm-r-multilingual,0.7093023255813954,0.6943852167732765
ঘোর,csebuet-banglabert,0.7209302325581395,0.7133333333333334
ঘোর,csebuet-banglabert-large,0.6627906976744186,0.6590567327409433
