word,model,acc,f1
কপাল,muril,0.5670103092783505,0.5647435897435897
কপাল,xl-lexeme,0.5876288659793815,0.5336538461538461
কপাল,xlm-r,0.5051546391752577,0.3841269841269841
কপাল,indic,0.6185567010309279,0.6179069519855211
কপাল,e5,0.5670103092783505,0.5658567774936061
কপাল,mbert,0.5567010309278351,0.5536650615302301
কপাল,banglabert,0.5051546391752577,0.45658263305322133
কপাল,sahajbert,0.6701030927835051,0.6683760683760684
কপাল,e5-large,0.5154639175257731,0.5051557581678063
কপাল,labse,0.5670103092783505,0.5412162162162162
কপাল,para-miniLM-multilingual,0.5567010309278351,0.5277935016415713
কপাল,para-xlm-r-multilingual,0.5773195876288659,0.46781747624782555
কপাল,csebuet-banglabert,0.5773195876288659,0.5006905210295041
কপাল,csebuet-banglabert-large,0.5979381443298969,0.5337113274990756
