word,model,acc,f1
পাকা,muril,0.8695652173913043,0.8643734643734644
পাকা,xl-lexeme,0.5869565217391305,0.3698630136986301
পাকা,xlm-r,0.5869565217391305,0.5820181731229077
পাকা,indic,0.782608695652174,0.7788461538461539
পাকা,e5,0.5108695652173914,0.5080213903743316
পাকা,mbert,0.717391304347826,0.633578431372549
পাকা,banglabert,0.8913043478260869,0.886977886977887
পাকা,sahajbert,0.9456521739130435,0.9437308868501529
পাকা,e5-large,0.6630434782608695,0.6581565384154381
পাকা,labse,0.5869565217391305,0.5740740740740741
পাকা,para-miniLM-multilingual,0.5108695652173914,0.4890781192151055
পাকা,para-xlm-r-multilingual,0.6304347826086957,0.533134328358209
পাকা,csebuet-banglabert,0.6304347826086957,0.6240384615384615
পাকা,csebuet-banglabert-large,0.5978260869565217,0.5868430634785775
