word,model,acc,f1
ডাক,muril,0.9924812030075187,0.9914515863882952
ডাক,xl-lexeme,0.9022556390977443,0.9009186891539832
ডাক,xlm-r,0.631578947368421,0.6213235294117646
ডাক,indic,0.6541353383458647,0.6249336870026525
ডাক,e5,0.924812030075188,0.9170844659216751
ডাক,mbert,0.7894736842105263,0.779548580373799
ডাক,banglabert,0.7142857142857143,0.6856492969396196
ডাক,sahajbert,0.7593984962406015,0.7247573447983845
ডাক,e5-large,0.6917293233082706,0.5695796920516022
ডাক,labse,0.924812030075188,0.9205405405405406
ডাক,para-miniLM-multilingual,0.48120300751879697,0.47272727272727266
ডাক,para-xlm-r-multilingual,0.5639097744360902,0.5344237308745403
ডাক,csebuet-banglabert,0.49624060150375937,0.47624127191338994
ডাক,csebuet-banglabert-large,0.49624060150375937,0.38313538313538315
