word,model,acc,f1
চাবি,muril,0.6391752577319587,0.5737602008788449
চাবি,xl-lexeme,0.5463917525773195,0.3909817351598174
চাবি,xlm-r,0.8350515463917526,0.8348936170212766
চাবি,indic,0.9484536082474226,0.9476524554776039
চাবি,e5,0.865979381443299,0.8638963842417702
চাবি,mbert,0.9072164948453608,0.9052425919895799
চাবি,banglabert,0.9175257731958762,0.9164513350559862
চাবি,sahajbert,0.9381443298969072,0.9361842105263158
চাবি,e5-large,0.8556701030927835,0.853030303030303
চাবি,labse,0.9278350515463918,0.9273408239700375
চাবি,para-miniLM-multilingual,0.7422680412371134,0.7107930828861062
চাবি,para-xlm-r-multilingual,0.711340206185567,0.6556795131845842
চাবি,csebuet-banglabert,0.8041237113402062,0.8027822364901016
চাবি,csebuet-banglabert-large,0.9175257731958762,0.9155052264808363
